iter	Passed	Remaining
969	13388	414
970	13400	400
971	13413	386
972	13426	372
973	13440	358
974	13452	344
975	13465	331
976	13478	317
977	13491	303
978	13504	289
979	13518	275
980	13533	262
981	13545	248
982	13558	234
983	13570	220
984	13583	206
985	13595	193
986	13608	179
987	13621	165
988	13635	151
989	13647	137
990	13660	124
991	13673	110
992	13686	96
993	13698	82
994	13711	68
995	13725	55
996	13740	41
997	13752	27
998	13765	13
999	13778	0
